institution_code,catalog_number,recorded_by,year,month,decimal_latitude,decimal_longitude,location,species,generic_name,specific_name,day,.val,.equ,.zer,.cap,.cen,.sea,.otl,.gbf,.inst,.summary
NZAC,NZAC04283868,ES Gourlay,1935,1,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283869,AC O'Connor,1916,9,-40.67069,173.9983,"Cook Strait, Stephens Island",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283870,E Fairburn,1931,1,-40.67069,173.9983,"Cook Strait, Stephens Island",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283871,E Fairburn,1931,1,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283872,MJ Meads,1976,4,-40.67069,173.9983,"Cook Strait, Stephens Island",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283873,ES Gourlay,1933,1,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283874,E Fairburn,1931,1,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283875,AC O'Connor,1915,9,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283876,ES Gourlay,1932,NA,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283877,ES Gourlay,1933,1,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283878,ES Gourlay,1932,NA,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283879,NA,NA,9,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283880,AC O'Connor,1916,9,-40.67069,173.9983,"Cook Strait, Stephens Island",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283881,AC O'Connor,1916,9,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283882,ES Gourlay,1933,1,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283883,ES Gourlay,1933,1,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283884,AC O'Connor,1915,9,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283885,ES Gourlay,1931,12,-40.67069,173.9983,"Cook Strait, Stephens Island",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283886,ES Gourlay,1931,12,-40.67069,173.9983,"Cook Strait, Stephens Island",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283887,E Fairburn,1931,1,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283888,E Fairburn,1931,1,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283892,GW Gibbs,1957,5,-41.11406,174.43284,Brothers Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283889,PR Notman,1981,11,-40.67069,173.9983,"Stephens Island, Keepers Bush",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283890,ES Gourlay,1933,1,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283891,ES Gourlay,1933,1,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
