Repository,NZAC_Accession_Number,Specimen_Kind,Quantity,Order,Family,Collection_Name,Taxon_Name,Taxon_Note,NEIL_manuscript_name,Determiner,Determination_Date,Determination_Note,Type_Status,Country,New_Zealand_Area_Code,Locality,NEIL_guess_location,NEIL_guess_coordinates,NEIL_check_w_Rich,Altitude ,Day,Month,Year,2nd date,Collectors,Collector_No,Method,Habitat,Microhabitat,Collection_Event_Note,Verbatim_Geocoordinates ,Sex,Stages,copy to WORD,NEIL_Determination_INFO,NEIL_Drawer_INFO,Neil_Specimen_Note,Neil_Other
NZAC,NZAC04239410,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,,Mount Owen,,"-41.554218, 172.541742",y,4500',4,11,1961,10/11/1961,JI Townsend,,,,,,,,Adult,,,Carinorostris (Marshall 1953) K'81 //host: Chionochloa,,"label: ""lewisi""; genitalia in vial & ventrite card mounted"
NZAC,NZAC04239440,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,,Mount Owen,,"-41.554218, 172.541742",y,4500',4,11,1961,10/11/1961,JI Townsend,,,,,,,,Adult,,,,,"label: ""figured""; genitalia in vial & ventrite card mounted"
NZAC,NZAC04239320,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,NN,"Nelson Tops, Huranui Valley","Nelson Tops, Hurunui Valley","-42.716027, 171.936808",,4000',22,4,1962,,PM Johns,573,,,,,,,Adult,,,,,
NZAC,NZAC04239350,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,,Mount Owen,,"-41.554218, 172.541742",y,4500',4,11,1961,10/11/1961,JI Townsend,,,,,,,,Adult,,,,,
NZAC,NZAC04239500,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,BR,Lewis Pass,,"-42.380494, 172.400165",,,18,11,1961,24/11/1961,G Kuschel,,,,,,,,Adult,,,,,Elytra
NZAC,NZAC04239290,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,BR,Lewis Pass,,"-42.380494, 172.400165",,,18,11,1961,24/11/1961,G Kuschel,,,,,,,,Adult,,,,,Elytra
NZAC,NZAC04239230,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,BR,Lewis Pass,,"-42.380494, 172.400165",,,18,11,1961,24/11/1961,G Kuschel,,,,,,,,Adult,,,,,Elytra
NZAC,NZAC04239380,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,BR,Lewis Pass,,"-42.380494, 172.400165",,,18,11,1961,24/11/1961,G Kuschel,,,,,,,,Adult,,,,,Elytra
NZAC,NZAC04239260,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,BR,Lewis Pass,,"-42.380494, 172.400165",,,18,11,1961,24/11/1961,G Kuschel,,,,,,,,Adult,,,,,Elytra
NZAC,NZAC04239501,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,BR,Lewis Pass,,"-42.380494, 172.400165",,,18,11,1961,24/11/1961,G Kuschel,,,,,,,,Adult,,,,,Elytra
